degree,order,beta
1,-1,-3.2609168395976877
3,-3,0.33585880677633717
3,-1,0.2603072353560447
5,-5,0.24579031291890396
5,-3,0.1206984094430327
5,-1,0.19809114894893826
7,-7,0.02244658311421771
7,-5,0.046787364304022125
7,-3,0.024255434040947134
7,-1,0.004199550838385108
9,-9,-0.019738014647535593
9,-7,-0.01834729151408812
9,-5,-0.008142858641964842
9,-3,-0.021592241888207464
9,-1,-0.007212257327602334
