degree,order,beta
3,2,-0.0010467797714338192
4,-4,-0.058361619470430476
5,2,-0.0012266622015523546
6,-4,0.0090284948467154
7,2,-0.00039280656120243423
8,-8,0.011653328314068219
8,-4,0.0049130693166091035
9,2,0.0011678199135306336
9,6,0.0011341293418695216
10,-8,-0.00975253111316675
10,-4,-0.002959730034476789
