degree,order,beta
1,0,-3.2608167935927272
3,0,-0.42495073345618684
5,0,0.33126356628416476
5,4,0.06591080204632854
7,0,-0.04832021847742468
7,4,0.030106248127500495
9,0,-0.03470793378986416
9,8,0.012115051178134509
